s_id,year,on_time,quality,after-sales service,final score,e_id
384,1997,70,90,90,84.0,TL676930737
385,1997,71,96,52,86.3,JD883464020
386,1997,72,82,79,78.85,BG228022180
387,1997,99,74,81,81.85,VV672497678
388,1997,53,85,100,76.15,VV672497678
390,1997,75,56,57,61.75,WF908181184
391,1997,100,79,90,85.85,AL937806946
392,1997,62,87,85,79.4,CN293777880
393,1997,90,79,70,81.85,IM404684290
394,1997,98,91,99,93.5,AL937806946
395,1997,69,62,69,64.45,JD883464020
396,1997,74,80,84,78.4,IM404684290
398,1997,90,54,59,65.05,OP207448611
399,1997,54,62,66,59.8,BG228022180
400,1997,76,80,77,78.65,FY340462967
402,1997,81,81,78,80.85,VV672497678
403,1997,91,93,64,90.95,VV672497678
404,1997,82,58,78,66.2,AL937806946
405,1997,87,91,74,88.95,OP207448611
406,1997,69,75,85,73.7,JD883464020
407,1997,61,59,52,59.25,FY340462967
408,1997,87,67,91,74.2,IM404684290
410,1997,70,88,69,81.65,OP207448611
411,1997,96,94,98,94.8,RV213846681
412,1997,58,66,80,64.3,WF908181184
413,1997,65,53,64,57.15,JD883464020
414,1997,100,59,82,72.45,TL676930737
415,1997,68,92,52,82.8,KM712320200
416,1997,69,63,81,65.7,IM404684290
417,1997,77,56,68,62.9,FY340462967
418,1997,85,50,50,60.5,KM712320200
420,1997,82,69,61,72.5,OP207448611
422,1997,53,67,91,64.0,EV756404160
423,1997,94,100,69,96.65,RV213846681
424,1997,84,60,63,67.35,BG228022180
425,1997,59,77,84,71.95,BG228022180
426,1997,66,67,69,66.8,IM404684290
427,1997,100,100,90,99.5,CN293777880
428,1997,65,70,99,69.95,KM712320200
429,1997,53,75,98,69.55,OP207448611
430,1997,67,69,89,69.4,BG228022180
432,1997,59,71,93,68.5,VV672497678
434,1997,80,82,52,79.9,EV756404160
435,1997,84,68,54,72.1,BG228022180
436,1997,76,95,84,88.75,BG228022180
437,1997,89,54,86,66.1,FY340462967
438,1997,77,95,92,89.45,FY340462967
440,1997,96,93,65,92.5,JD883464020
441,1997,57,100,99,87.05,JD883464020
442,1997,93,99,100,97.25,KM712320200
444,1997,76,61,92,67.05,FY340462967
445,1997,63,92,83,82.85,BG228022180
446,1997,60,61,81,61.7,FY340462967
447,1997,57,64,75,62.45,KM712320200
448,1997,92,56,60,67.0,VV672497678
450,1997,61,100,61,86.35,AL937806946
451,1997,75,70,100,73.0,OP207448611
452,1997,64,55,66,58.25,OP207448611
453,1997,70,78,57,74.55,OP207448611
454,1997,67,52,89,58.35,KM712320200
455,1997,76,75,91,76.1,WF908181184
456,1997,86,79,74,80.85,FY340462967
458,1997,68,62,57,63.55,JD883464020
459,1997,66,79,62,74.25,OP207448611
460,1997,97,53,54,66.25,KM712320200
462,1997,55,95,69,81.7,AL937806946
464,1997,71,95,70,86.55,TL676930737
465,1997,93,90,69,89.85,KM712320200
466,1997,93,73,83,79.5,OP207448611
468,1997,95,79,55,82.6,AL937806946
469,1997,73,73,97,74.2,OP207448611
470,1997,52,57,65,55.9,IM404684290
471,1997,99,78,87,84.75,WF908181184
472,1997,50,65,55,60.0,TL676930737
473,1997,88,56,93,67.45,VV672497678
474,1997,55,80,91,73.05,CN293777880
475,1997,80,61,57,66.5,OP207448611
476,1997,74,56,84,62.8,FY340462967
477,1997,83,80,76,80.7,EV756404160
478,1997,65,63,82,64.55,AL937806946
480,1997,95,90,68,90.4,KM712320200
481,1997,61,72,96,69.9,KM712320200
482,1997,54,59,86,58.85,WF908181184
483,1997,84,82,81,82.55,VV672497678
484,1997,82,93,58,87.95,EV756404160
485,1997,56,63,58,60.65,AL937806946
486,1997,92,64,91,73.75,RV213846681
488,1997,80,94,53,87.75,JD883464020
489,1997,79,97,100,91.75,OP207448611
490,1997,65,93,90,84.45,BG228022180
492,1997,89,53,59,64.1,OP207448611
493,1997,71,84,93,80.55,KM712320200
494,1997,80,77,77,77.9,WF908181184
495,1997,68,84,78,78.9,VV672497678
496,1997,58,57,76,58.25,VV672497678
497,1997,92,92,100,92.4,TL676930737
498,1997,68,61,100,65.05,JD883464020
500,1997,53,97,69,82.4,CN293777880
501,1997,97,53,52,66.15,FY340462967
502,1997,96,70,68,77.7,VV672497678
504,1997,97,52,55,65.65,JD883464020
505,1997,100,84,51,87.15,JD883464020
506,1997,79,62,61,67.05,OP207448611
507,1997,95,86,69,87.85,RV213846681
508,1997,67,69,78,68.85,AL937806946
510,1997,79,55,57,62.3,KM712320200
511,1997,87,72,79,76.85,KM712320200
512,1997,50,81,74,71.35,TL676930737
513,1997,54,86,55,74.85,WF908181184
514,1997,58,63,84,62.55,BG228022180
515,1997,84,81,64,81.05,OP207448611
516,1997,79,74,85,76.05,AL937806946
517,1997,67,54,59,58.15,IM404684290
518,1997,61,61,62,61.05,VV672497678
519,1997,92,55,77,67.2,VV672497678
520,1997,65,53,78,57.85,FY340462967
522,1997,66,79,94,75.85,TL676930737
524,1997,98,88,76,90.4,FY340462967
525,1997,69,74,54,71.5,EV756404160
526,1997,54,83,74,73.85,WF908181184
527,1997,52,63,61,59.6,CN293777880
528,1997,77,87,81,83.7,AL937806946
529,1997,60,69,72,66.45,FY340462967
530,1997,76,83,100,81.75,OP207448611
531,1997,94,74,51,78.85,IM404684290
532,1997,78,68,94,72.3,EV756404160
533,1997,99,64,55,74.05,BG228022180
534,1997,52,82,92,73.5,BG228022180
535,1997,70,65,88,67.65,IM404684290
536,1997,98,85,59,87.6,JD883464020
537,1997,90,77,54,79.75,AL937806946
538,1997,98,54,95,69.25,KM712320200
539,1997,86,68,91,74.55,RV213846681
540,1997,74,78,65,76.15,AL937806946
542,1997,79,57,79,64.7,OP207448611
543,1997,52,92,77,79.25,WF908181184
544,1997,95,94,71,93.15,FY340462967
545,1997,95,78,99,84.15,EV756404160
546,1997,80,54,63,62.25,AL937806946
548,1997,61,79,96,74.45,IM404684290
549,1997,83,65,56,69.95,OP207448611
550,1997,67,63,57,63.9,IM404684290
551,1997,50,75,54,66.45,JD883464020
552,1997,99,87,95,91.0,TL676930737
553,1997,98,70,94,79.6,WF908181184
554,1997,51,90,100,78.8,RV213846681
555,1997,61,83,67,75.6,CN293777880
556,1997,73,53,97,61.2,IM404684290
558,1997,89,67,59,73.2,WF908181184
559,1997,76,77,92,77.45,BG228022180
560,1997,72,82,77,78.75,CN293777880
561,1997,62,69,60,66.45,VV672497678
562,1997,65,69,71,67.9,WF908181184
564,1997,85,94,78,90.5,AL937806946
565,1997,78,72,57,73.05,VV672497678
566,1997,74,67,57,68.6,FY340462967
567,1997,51,84,99,74.85,KM712320200
568,1997,99,71,94,80.55,JD883464020
570,1997,78,66,98,71.2,JD883464020
572,1997,56,66,85,63.95,FY340462967
573,1997,67,56,76,60.3,AL937806946
574,1997,73,71,51,70.6,CN293777880
575,1997,88,62,87,71.05,IM404684290
576,1997,63,56,52,57.9,KM712320200
578,1997,66,85,99,80.0,OP207448611
579,1997,54,78,77,70.75,OP207448611
580,1997,71,50,56,56.6,BG228022180
581,1997,60,99,80,86.35,JD883464020
582,1997,62,86,88,78.9,WF908181184
583,1997,82,74,52,75.3,JD883464020
584,1997,83,77,82,79.05,AL937806946
585,1997,57,77,75,70.9,KM712320200
586,1997,66,87,61,79.4,JD883464020
588,1997,79,50,52,58.8,TL676930737
589,1997,77,78,79,77.75,JD883464020
590,1997,98,63,70,73.85,FY340462967
591,1997,78,100,57,91.25,RV213846681
592,1997,73,72,56,71.5,WF908181184
594,1997,79,73,73,74.8,FY340462967
595,1997,98,97,96,97.25,BG228022180
596,1997,80,75,59,75.7,WF908181184
597,1997,78,64,81,69.05,IM404684290
598,1997,56,72,85,67.85,TL676930737
600,1997,64,90,77,81.55,EV756404160
602,1997,65,75,60,71.25,EV756404160
603,1997,70,66,81,67.95,JD883464020
604,1997,68,91,76,83.35,VV672497678
605,1997,76,78,58,76.4,RV213846681
606,1997,89,96,85,93.35,EV756404160
608,1997,97,88,74,90.0,OP207448611
609,1997,93,57,71,68.5,IM404684290
610,1997,53,78,85,70.85,BG228022180
611,1997,81,56,72,64.3,IM404684290
612,1997,86,93,67,89.6,TL676930737
614,1997,82,95,96,91.15,AL937806946
615,1997,56,64,71,61.95,WF908181184
616,1997,82,92,82,88.5,OP207448611
618,1997,77,52,83,61.05,RV213846681
620,1997,77,53,84,61.75,AL937806946
621,1997,52,51,64,51.95,AL937806946
622,1997,79,60,54,65.4,TL676930737
623,1997,58,92,69,80.65,RV213846681
624,1997,50,71,51,63.7,TL676930737
625,1997,75,53,94,61.65,AL937806946
626,1997,67,74,77,72.05,BG228022180
627,1997,61,73,50,68.25,WF908181184
628,1997,73,63,62,65.95,IM404684290
629,1997,97,66,71,75.55,KM712320200
630,1997,97,92,87,93.25,VV672497678
632,1997,79,70,61,72.25,KM712320200
633,1997,82,96,62,90.1,RV213846681
634,1997,99,62,89,74.45,AL937806946
635,1997,75,72,69,72.75,TL676930737
636,1997,50,72,88,66.2,IM404684290
637,1997,75,66,67,68.75,RV213846681
638,1997,82,84,54,81.9,TL676930737
639,1997,100,87,69,90.0,WF908181184
640,1997,61,92,86,82.4,IM404684290
642,1997,87,52,90,64.4,CN293777880
644,1997,96,50,88,65.7,TL676930737
645,1997,63,83,80,76.85,WF908181184
646,1997,67,57,93,61.8,TL676930737
648,1997,86,63,53,69.4,KM712320200
649,1997,51,92,85,79.35,JD883464020
650,1997,93,62,99,73.15,EV756404160
651,1997,66,62,52,62.7,BG228022180
652,1997,98,64,66,74.3,AL937806946
654,1997,87,80,89,82.55,JD883464020
655,1997,67,53,68,57.95,EV756404160
656,1997,75,54,57,60.45,AL937806946
657,1997,59,79,84,73.25,VV672497678
658,1997,60,53,95,57.2,EV756404160
660,1997,58,85,70,76.15,EV756404160
662,1997,65,94,61,83.65,EV756404160
663,1997,75,80,56,77.3,VV672497678
664,1997,83,68,81,73.15,WF908181184
665,1997,94,56,83,68.75,VV672497678
666,1997,96,52,59,65.55,OP207448611
667,1997,93,58,79,69.55,EV756404160
668,1997,63,73,71,69.9,EV756404160
669,1997,59,88,97,79.75,WF908181184
670,1997,90,81,66,82.95,TL676930737
671,1997,82,58,76,66.1,FY340462967
672,1997,93,74,91,80.55,OP207448611
674,1997,72,54,95,61.45,EV756404160
675,1997,53,85,59,74.1,CN293777880
676,1997,70,74,76,72.9,CN293777880
678,1997,59,79,51,71.6,RV213846681
679,1997,99,63,64,73.85,JD883464020
680,1997,92,98,77,95.15,CN293777880
681,1997,95,72,81,79.35,CN293777880
682,1997,61,91,82,81.55,WF908181184
684,1997,74,56,84,62.8,EV756404160
685,1997,74,84,79,80.75,VV672497678
686,1997,82,54,78,63.6,CN293777880
687,1997,58,68,95,66.35,RV213846681
688,1997,61,81,58,73.85,WF908181184
689,1997,76,95,81,88.6,CN293777880
690,1997,87,69,59,73.9,AL937806946
692,1997,68,56,99,61.75,CN293777880
693,1997,92,59,83,70.1,BG228022180
694,1997,64,90,88,82.1,JD883464020
695,1997,96,89,81,90.7,BG228022180
696,1997,83,84,61,82.55,TL676930737
697,1997,54,85,94,76.15,BG228022180
698,1997,78,53,70,61.35,TL676930737
699,1997,73,73,81,73.4,AL937806946
700,1997,62,50,55,53.85,BG228022180
702,1997,82,52,78,62.3,EV756404160
703,1997,78,89,57,84.1,RV213846681
704,1997,94,61,89,72.3,RV213846681
705,1997,61,92,80,82.1,FY340462967
706,1997,91,73,92,79.35,JD883464020
707,1997,54,94,63,80.45,OP207448611
708,1997,94,80,98,85.1,VV672497678
710,1997,65,70,84,69.2,TL676930737
711,1997,82,96,70,90.5,WF908181184
712,1997,97,65,50,73.85,BG228022180
713,1997,88,80,92,83.0,JD883464020
714,1997,97,57,86,70.45,WF908181184
715,1997,91,99,100,96.65,OP207448611
716,1997,52,57,72,56.25,BG228022180
717,1997,54,100,51,83.75,FY340462967
718,1997,60,59,52,58.95,RV213846681
720,1997,95,73,96,80.75,AL937806946
721,1997,84,68,83,73.55,JD883464020
722,1997,64,75,59,70.9,AL937806946
723,1997,52,71,56,64.55,JD883464020
724,1997,56,79,90,72.65,EV756404160
725,1997,78,92,55,85.95,JD883464020
726,1997,91,66,76,74.0,OP207448611
728,1997,68,57,83,61.6,FY340462967
729,1997,97,50,93,66.25,AL937806946
730,1997,83,60,96,68.7,WF908181184
731,1997,80,89,54,84.55,BG228022180
732,1997,76,76,77,76.05,WF908181184
734,1997,51,73,90,67.25,TL676930737
735,1997,74,97,78,89.15,VV672497678
736,1997,78,74,61,74.55,EV756404160
737,1997,54,82,96,74.3,VV672497678
738,1997,67,81,95,77.5,BG228022180
740,1997,73,99,73,89.9,OP207448611
741,1997,65,54,91,59.15,JD883464020
742,1997,77,96,81,89.55,VV672497678
744,1997,52,76,98,69.9,RV213846681
745,1997,70,93,86,85.75,VV672497678
746,1997,65,78,70,73.7,AL937806946
747,1997,59,56,60,57.1,BG228022180
748,1997,51,87,87,76.2,CN293777880
749,1997,68,57,95,62.2,AL937806946
750,1997,74,74,71,73.85,WF908181184
752,1997,98,79,92,85.35,RV213846681
753,1997,72,72,92,73.0,OP207448611
754,1997,86,80,75,81.55,FY340462967
755,1997,63,51,62,55.15,IM404684290
756,1997,71,67,70,68.35,EV756404160
758,1997,96,97,97,96.7,KM712320200
759,1997,74,87,67,82.1,KM712320200
760,1997,65,54,97,59.45,VV672497678
762,1997,74,99,52,89.15,BG228022180
763,1997,89,69,70,75.05,VV672497678
764,1997,73,83,89,80.3,FY340462967
765,1997,67,68,100,69.3,AL937806946
766,1997,89,94,91,92.35,VV672497678
767,1997,69,82,98,78.9,FY340462967
768,1997,61,94,80,83.4,IM404684290
770,1997,78,75,90,76.65,EV756404160
771,1997,71,81,99,78.9,OP207448611
772,1997,85,88,87,87.05,OP207448611
774,1997,83,68,50,71.6,AL937806946
775,1997,91,56,97,68.55,CN293777880
776,1997,52,50,98,53.0,WF908181184
777,1997,53,52,83,53.85,TL676930737
778,1997,51,66,50,60.7,RV213846681
779,1997,59,96,75,83.85,EV756404160
780,1997,85,65,54,70.45,IM404684290
781,1997,72,81,73,77.9,FY340462967
782,1997,95,93,89,93.4,VV672497678
783,1997,65,98,90,87.7,OP207448611
784,1997,100,69,60,77.85,WF908181184
785,1997,57,51,69,53.7,VV672497678
786,1997,98,52,97,68.05,RV213846681
788,1997,58,67,98,65.85,AL937806946
789,1997,57,69,65,65.2,EV756404160
790,1997,100,75,82,82.85,BG228022180
791,1997,68,94,51,84.05,CN293777880
792,1997,67,57,59,60.1,AL937806946
793,1997,76,75,69,75.0,EV756404160
794,1997,54,87,89,77.2,CN293777880
795,1997,51,79,77,70.5,IM404684290
796,1997,84,97,55,91.0,AL937806946
798,1997,73,92,52,84.3,OP207448611
799,1997,98,89,90,91.75,RV213846681
800,1997,61,75,79,71.0,KM712320200
801,1997,56,66,99,64.65,KM712320200
802,1997,73,90,93,85.05,VV672497678
803,1997,68,89,56,81.05,JD883464020
