f_id,f_name,f_country,f_address,f_phone,super_id
77,Titan AeroParts B,Canada,"8096 Willie Drive
Jeffreyville, IL 95381",+1 1537318429,['NB172616831']
78,JetBridge Systems A,United Kingdom,"Unit 2458 Box 2797
DPO AA 38914",+44 0766837607,['CG673562893']
79,JetBridge Systems B,USA,"USNV Anderson
FPO AA 93473",+1 0138052517,['AN567792721']
80,JetBridge Systems C,USA,"738 Scott Gateway
South Maria, NY 91106",+1 9442303222,['CF963333227']
81,LunarJet Components A,India,"8212 Young Mission
East Katherine, UT 50655",+91 5045943402,['AP774102602']
82,LunarJet Components B,China,"5312 Spencer Mall
West Matthew, NJ 37196",+86 2411208506,['IX817087232']
83,LunarJet Components C,France,"277 Stewart Light
North Davidbury, MA 26539",+33 7122723442,['CY362096598']
84,LunarJet Components D,United Kingdom,"7558 Brenda Ville Suite 184
South Jocelyntown, MD 05276",+44 8525706827,['BO155920584']
85,LunarJet Components E,United Kingdom,"183 Miller Villages
West Scott, OH 71581",+44 3756196044,['TK038985451']
86,SolarWing Systems A,Italy,"3402 Misty Village
Lake Timothy, AR 45620",+39 9442951668,['BY534471244']
87,AeroVerge Manufacturing A,United Kingdom,"155 Porter Roads
Matthewburgh, NH 52870",+44 8964133383,['VG558346908']
88,AeroVerge Manufacturing B,France,"61076 Johnson Union
East Patrick, MS 40269",+33 8497642686,['KP636830344']
89,AeroVerge Manufacturing C,Germany,"420 Bowers Walk Apt. 907
North Evan, KS 46830",+49 2746311490,['XO327847025']
90,AeroVerge Manufacturing D,China,"13304 Vanessa Gardens
Douglasborough, OH 02966",+86 8628523525,['HX615979722']
91,AeroVerge Manufacturing E,Japan,"814 Stephen Wall Suite 824
Atkinsfurt, MD 72005",+81 0574120583,['MX125738100']
92,FalconTech Assembly A,Australia,"774 Gallegos Burgs Suite 959
West Jon, WY 63646",+61 9257424894,['FN034417965']
93,FalconTech Assembly B,France,"048 Donovan Squares
Benjaminfort, WI 55279",+33 7911115117,['YL668762313']
94,FalconTech Assembly C,USA,"119 Jones Ridges Suite 202
South Tammy, PA 50716",+1 4532485334,['LQ252365771']
95,FalconTech Assembly D,France,"170 Haynes Pine
Arnoldstad, IA 61644",+33 6043279104,['AR573389813']
96,FalconTech Assembly E,India,"162 Li Canyon Suite 223
Khanview, NV 84583",+91 4729966313,['YL715004639']
97,JetCore Solutions A,United Kingdom,"69380 Davis Shoal Apt. 370
Port Margaretbury, UT 98917",+44 7889384403,['TL062144942']
98,JetCore Solutions B,USA,"4649 Spencer River Apt. 071
Jeremyborough, NM 48678",+1 5144995957,['PP828991671']
99,JetCore Solutions C,India,"698 Melanie Glen Suite 225
Shanefort, GU 50759",+91 0340610939,['ED165924823']
100,JetCore Solutions D,USA,"950 Carolyn Light
Paulborough, MO 62651",+1 1798028341,['XC381818988']
101,Skyward Manufacturing A,USA,"1992 Anthony Shore
Rossview, AR 55759",+1 7251355955,['IV463495234']
102,Skyward Manufacturing B,China,"8801 Johnson Corners Suite 494
Trevorhaven, IL 74058",+86 3172038460,['RV312719169']
103,StellarCraft Manufacturing A,United Kingdom,"6673 Wiggins Brooks
Port Sherihaven, KY 93359",+44 3124600711,['OB371642438']
104,StellarCraft Manufacturing B,Japan,"5835 Allison Ranch Apt. 328
Davischester, AR 48773",+81 9569626278,['BA808132689']
105,StellarCraft Manufacturing C,United Kingdom,"296 Pamela Knolls
New Joseberg, MI 99842",+44 5872710377,['IX817087232']
106,StellarCraft Manufacturing D,China,"631 Robert Freeway Suite 546
East Phillipland, MD 67434",+86 7132590187,['ZO638293546']
107,StellarCraft Manufacturing E,USA,"768 Brian Camp
Lake Adam, KS 36543",+1 0628052683,['UB459442754']
108,TrueFlight Technologies A,United Kingdom,"479 Victor Burgs Apt. 028
Daniellefurt, MH 20054",+44 3004949591,['PU242509999']
109,TrueFlight Technologies B,Canada,"10631 Vincent Parkways
Port Ericabury, AZ 39379",+1 5090670146,['BS991709787']
110,Helios Aerospace A,Japan,"6839 Laura Green
South Joshuafort, AS 71202",+81 7239913899,['CB121186201']
111,AeroFusion Works A,USA,"725 Evans Heights
North Valerie, LA 66456",+1 3402316838,['KU601485167']
112,NovaCraft Systems A,France,"5046 Mccoy Knoll
New Dawntown, ME 51873",+33 8945062028,['RT481315183']
113,NovaCraft Systems B,Germany,"9058 Acosta Drive Suite 705
West Mark, AZ 97912",+49 1697931597,['QF677065479']
114,NovaCraft Systems C,China,"828 Mayer Junction
Port Dianeville, MH 57663",+86 5273151879,['JJ194609804']
115,NovaCraft Systems D,United Kingdom,"91970 Watts Knolls Suite 015
Caseyport, CT 59081",+44 1963352720,['FA278560418']
116,NovaCraft Systems E,Japan,"1269 Lynch Views Suite 658
Kylechester, WI 19203",+81 7767899516,['DD205879120']
117,CloudWorks Manufacturing A,France,"56836 Cline Locks
West Leah, GA 64762",+33 5865403070,['TW600164803']
118,CloudWorks Manufacturing B,USA,"Unit 4889 Box 3811
DPO AE 53496",+1 4059704598,['AL470602614']
119,CloudWorks Manufacturing C,Poland,"09452 Zimmerman Greens
New Patriciamouth, PW 01903",+48 1276714707,['CQ119684412']
120,CloudWorks Manufacturing D,USA,"0021 Wilson Circles Suite 105
Markhaven, MA 24247",+1 4367575655,['WO079425658']
121,JetFusion Assemblies A,USA,"1907 James Brook
Douglashaven, SD 43539",+1 8148500631,['RK122994077']
122,JetFusion Assemblies B,USA,"090 Estes Gateway
West Jimmy, VA 84122",+1 3511802960,['LI717127883']
123,JetFusion Assemblies C,China,"6769 Williams Track Apt. 261
South Jeffreyburgh, SD 84166",+86 2843724323,['YU815600613']
124,Polaris Avionics A,China,"44195 Steven Cliffs Apt. 319
East Mary, FL 88208",+86 1221539436,['KT729969999']
125,Polaris Avionics B,United Kingdom,"763 Oliver Lodge Suite 677
Janiceside, CT 61172",+44 1684913475,['JN049473895']
126,Polaris Avionics C,Brazil,"14194 Koch Stravenue Apt. 995
North Angela, IL 02835",+55 4312792822,['ID606263182']
127,Polaris Avionics D,France,"5248 Cain Track Apt. 844
Jenkinsport, FL 42839",+33 4408279738,['IV649842982']
128,Polaris Avionics E,Mexico,"59739 Webb Lodge Suite 619
Jennifertown, OH 68001",+52 7114495811,['RG633734928']
129,StratosFlight Systems A,Canada,"47339 Schwartz Bridge
West Erinbury, NV 71415",+1 6943386460,['DK490815003']
130,StratosFlight Systems B,Brazil,"337 Patrick Passage Apt. 424
Port Jacobborough, VI 40844",+55 0889817304,['VN933383584']
131,StratosFlight Systems C,Canada,"USCGC Cook
FPO AA 17156",+1 7171437452,['DB521798043']
132,StratosFlight Systems D,France,"PSC 2224, Box 9635
APO AP 15820",+33 4843968107,['HU764476484']
133,StratosFlight Systems E,India,"328 Glen Stream
Patriciaton, AS 08103",+91 3630393181,['SR699566933']
134,AeroVantage Systems A,USA,"58480 Isaac Walks
Davidchester, SC 09702",+1 1208178567,['TA081526039']
135,AeroVantage Systems B,Italy,"15308 Stark Ports Suite 384
Mayborough, NV 86401",+39 3200752560,['DO326855497']
136,AeroVantage Systems C,Canada,"Unit 3085 Box 6154
DPO AE 06102",+1 5556694602,['IJ412167399']
137,AeroVantage Systems D,USA,"5953 Garcia Loop
South Carrieburgh, UT 51951",+1 9009362650,['OH982851722']
138,AeroVantage Systems E,Brazil,"5282 Franklin Causeway
Wagnerton, FM 97891",+55 1100333962,['EH966534875']
139,Zenith Wingworks A,USA,"Unit 7560 Box 8611
DPO AP 40792",+1 4672051149,['LO259789087']
140,Zenith Wingworks B,Canada,"1140 Baldwin Dam
Vaughanchester, CO 72664",+1 4337139946,['UJ598755200']
141,Zenith Wingworks C,USA,"17579 Mcguire Road Suite 440
Carolside, AR 13087",+1 2179973610,['MY309353085']
142,SkyBound Precision A,Italy,"20581 Jennifer Ridge Apt. 493
Smithmouth, AR 67666",+39 7991605981,['BS069006527']
143,SkyBound Precision B,Brazil,"343 Melissa Mews
Scottside, NY 41690",+55 4667924969,['PM227219910']
144,SkyBound Precision C,USA,"Unit 6367 Box 1509
DPO AE 75519",+1 4654858365,['JC359600036']
145,SkyBound Precision D,Singapore,"94588 Amanda Field Apt. 829
Port Mary, MO 45597",+65 3947381327,['OO600073806']
146,SkyBound Precision E,USA,"44366 William Land Suite 118
New Cynthiatown, LA 01971",+1 7691107000,['HO552455808']
147,Phoenix JetTech A,Italy,"67969 Wilson Villages
Wilsonmouth, FM 13675",+39 7129064339,['ZI432474799']
148,Phoenix JetTech B,China,"7299 Justin Terrace Suite 721
Stevenport, ND 15643",+86 6089665305,['TW155916058']
149,HighPoint Assemblies A,United Kingdom,"041 James Isle Apt. 114
Williamfurt, NM 52047",+44 3475418660,['DG520377649']
150,HighPoint Assemblies B,South Korea,"0714 Angelica Glens
Johnborough, TN 30561",+82 2701060360,['EP039715324']
