s_id,year,on time,quality,after-sales service,final score,e_id
195,1997,96,63,86,74.05,UT333656047
196,1997,74,54,81,61.35,NK676784628
198,1997,86,51,51,61.5,RI497058419
200,1997,64,63,75,63.9,MM484314278
201,1997,85,84,93,84.75,KE823384121
202,1997,64,60,98,63.1,RI497058419
203,1997,75,98,78,90.1,KE823384121
204,1997,70,87,71,81.1,MN005219252
205,1997,52,80,61,70.65,NK676784628
206,1997,95,93,69,92.4,KE823384121
207,1997,68,60,60,62.4,CK689243685
208,1997,92,64,75,72.95,KE823384121
209,1997,86,90,94,89.0,KE823384121
210,1997,78,69,97,73.1,RI497058419
212,1997,94,76,55,80.35,OP572016011
213,1997,67,53,63,57.7,PA105899991
214,1997,77,61,66,66.05,TY760874265
215,1997,84,71,77,75.2,MN005219252
216,1997,55,84,57,73.95,HZ059479913
217,1997,81,67,75,71.6,CK689243685
218,1997,73,52,66,59.0,CT258851409
219,1997,55,58,79,58.15,SM665395424
220,1997,71,95,81,87.1,YV997426383
221,1997,55,69,82,65.45,BL164567666
222,1997,99,61,99,74.3,NK676784628
224,1997,69,55,65,59.7,SM665395424
225,1997,59,95,78,83.35,DZ316591599
226,1997,63,86,72,78.4,RI497058419
228,1997,89,79,73,81.7,YV997426383
230,1997,99,99,66,97.35,SM665395424
231,1997,98,92,89,93.65,LS538502116
232,1997,65,59,66,61.15,CK689243685
234,1997,95,62,74,72.5,LS538502116
235,1997,96,94,56,92.7,HZ059479913
236,1997,82,83,66,81.85,OC088063613
237,1997,78,56,58,62.7,KE823384121
238,1997,97,65,68,74.75,SM665395424
240,1997,55,84,53,73.75,SM665395424
242,1997,74,79,73,77.2,DZ316591599
243,1997,68,59,83,62.9,MM484314278
244,1997,60,84,74,76.3,VC139026495
245,1997,59,51,76,54.65,MM484314278
246,1997,92,56,81,68.05,VD219938145
247,1997,82,83,95,83.3,TY760874265
248,1997,89,73,97,79.0,SM665395424
249,1997,85,95,62,90.35,OC088063613
250,1997,63,62,61,62.25,DZ316591599
252,1997,52,55,98,56.25,VW913801325
253,1997,86,55,79,65.5,LS538502116
254,1997,100,80,59,84.95,YV997426383
255,1997,61,64,95,64.65,DZ316591599
256,1997,50,82,78,72.2,PA105899991
258,1997,79,66,82,70.7,RI497058419
259,1997,56,71,97,67.8,TY760874265
260,1997,83,94,94,90.7,VC139026495
261,1997,94,65,80,74.45,PA105899991
262,1997,87,50,50,61.1,RI497058419
264,1997,79,55,85,63.7,MM484314278
265,1997,68,77,95,75.2,TY760874265
266,1997,91,78,55,80.75,MN005219252
267,1997,99,51,64,66.05,VD219938145
268,1997,71,56,79,61.65,KH775751336
270,1997,89,96,86,93.4,KH775751336
272,1997,68,73,55,70.6,TY760874265
273,1997,69,97,100,88.75,DZ316591599
274,1997,60,93,52,81.05,SM665395424
275,1997,72,93,87,86.4,YV997426383
276,1997,65,62,99,64.75,LS538502116
278,1997,64,98,95,87.65,CT258851409
279,1997,65,80,58,74.4,MM484314278
280,1997,68,66,64,66.5,YV997426383
282,1997,88,96,75,92.55,VW913801325
284,1997,74,70,55,70.45,BL164567666
285,1997,87,91,53,87.9,OP572016011
286,1997,97,67,52,75.25,HZ059479913
287,1997,62,81,97,76.1,OC088063613
288,1997,64,83,58,76.05,TY760874265
289,1997,53,89,88,78.15,PA105899991
290,1997,100,73,70,80.95,CT258851409
291,1997,75,93,50,85.45,VC139026495
292,1997,66,67,92,67.95,UT333656047
294,1997,55,94,71,81.15,VW913801325
295,1997,61,67,53,64.5,RI497058419
296,1997,72,91,89,85.2,MN005219252
297,1997,50,56,74,55.1,DZ316591599
298,1997,63,94,99,84.95,YV997426383
299,1997,92,70,83,77.25,SM665395424
300,1997,87,89,73,87.6,VC139026495
301,1997,100,55,91,70.3,HZ059479913
302,1997,51,65,60,60.55,VW913801325
303,1997,73,85,98,82.05,HZ059479913
304,1997,53,79,94,71.95,DZ316591599
305,1997,68,77,95,75.2,TY760874265
306,1997,74,88,60,82.4,KH775751336
308,1997,89,89,52,87.15,HZ059479913
309,1997,95,64,58,73.0,KH775751336
310,1997,95,53,67,66.3,RI497058419
312,1997,60,65,55,63.0,VW913801325
314,1997,63,99,88,87.65,BL164567666
315,1997,52,66,80,62.5,VW913801325
316,1997,75,65,92,69.35,CK689243685
318,1997,73,100,82,91.0,VW913801325
319,1997,64,86,80,79.1,TY760874265
320,1997,74,79,100,78.55,TY760874265
321,1997,69,100,86,90.0,KE823384121
322,1997,51,94,95,81.15,OP572016011
323,1997,89,59,65,68.3,YV997426383
324,1997,59,57,82,58.85,HZ059479913
325,1997,92,75,56,79.15,PA105899991
326,1997,52,68,72,63.4,TY760874265
327,1997,60,74,75,69.85,KE823384121
328,1997,67,67,95,68.4,CT258851409
329,1997,86,57,52,65.45,BL164567666
330,1997,94,66,57,73.95,MN005219252
332,1997,100,91,69,92.6,PA105899991
333,1997,95,91,51,90.2,KE823384121
334,1997,89,86,57,85.45,KE823384121
335,1997,50,89,56,75.65,PA105899991
336,1997,80,58,100,66.7,HZ059479913
338,1997,87,95,54,90.55,OC088063613
339,1997,77,55,91,63.4,VC139026495
340,1997,98,100,61,97.45,UT333656047
341,1997,75,62,58,65.7,PA105899991
342,1997,54,79,52,70.15,SM665395424
343,1997,84,86,72,84.7,OC088063613
344,1997,68,56,80,60.8,VD219938145
345,1997,59,85,72,76.55,LS538502116
346,1997,69,64,53,64.95,HZ059479913
348,1997,67,87,78,80.55,VC139026495
350,1997,69,61,72,63.95,KE823384121
351,1997,64,56,70,59.1,KE823384121
352,1997,100,76,78,83.3,DZ316591599
354,1997,52,100,81,84.65,RI497058419
355,1997,61,97,58,84.25,KE823384121
356,1997,62,56,57,57.85,UT333656047
357,1997,66,62,68,63.5,YV997426383
358,1997,85,56,53,64.55,YV997426383
360,1997,99,56,67,69.45,LS538502116
361,1997,98,83,94,88.05,VC139026495
362,1997,66,53,67,57.6,VW913801325
363,1997,75,84,79,81.05,PA105899991
364,1997,56,68,82,65.1,MN005219252
365,1997,77,56,69,62.95,HZ059479913
366,1997,79,79,96,79.85,MM484314278
368,1997,84,65,52,70.05,NK676784628
369,1997,64,82,89,76.95,RI497058419
370,1997,97,96,80,95.5,PA105899991
371,1997,75,57,89,64.0,KH775751336
372,1997,54,79,57,70.4,BL164567666
374,1997,59,75,96,71.25,KH775751336
375,1997,59,100,65,85.95,BL164567666
376,1997,75,92,100,87.3,YV997426383
377,1997,62,59,94,61.65,RI497058419
378,1997,64,94,92,84.9,KE823384121
380,1997,68,52,58,57.1,OP572016011
381,1997,69,99,63,88.2,CT258851409
382,1997,64,91,62,81.45,OC088063613
384,1997,62,52,84,56.6,YV997426383
385,1997,91,66,97,75.05,YV997426383
386,1997,81,73,51,74.3,VW913801325
387,1997,74,87,86,83.05,MN005219252
388,1997,60,77,54,70.75,KE823384121
390,1997,81,60,66,66.6,YV997426383
391,1997,83,63,63,69.0,TY760874265
392,1997,51,93,78,79.65,MN005219252
393,1997,58,78,87,72.45,LS538502116
394,1997,73,65,61,67.2,VC139026495
395,1997,60,81,92,75.25,UT333656047
396,1997,86,73,59,76.2,BL164567666
398,1997,64,67,87,67.1,YV997426383
399,1997,74,60,93,65.85,CK689243685
400,1997,77,88,96,85.1,MN005219252
402,1997,89,64,66,71.6,MM484314278
403,1997,58,72,76,68.0,VD219938145
404,1997,52,87,88,76.55,HZ059479913
405,1997,64,51,50,54.85,MM484314278
406,1997,76,69,68,71.05,YV997426383
407,1997,91,87,90,88.35,HZ059479913
408,1997,77,60,70,65.6,PA105899991
410,1997,71,67,71,68.4,BL164567666
411,1997,64,83,66,76.45,MN005219252
412,1997,88,67,80,73.95,SM665395424
413,1997,88,99,100,95.75,DZ316591599
414,1997,96,85,85,88.3,BL164567666
415,1997,82,77,86,78.95,MM484314278
416,1997,67,87,54,79.35,UT333656047
417,1997,52,78,69,69.75,LS538502116
418,1997,94,69,99,78.0,BL164567666
420,1997,57,56,64,56.7,LS538502116
422,1997,55,59,65,58.1,KE823384121
423,1997,54,52,94,54.7,DZ316591599
424,1997,59,91,59,79.8,YV997426383
425,1997,100,99,76,98.15,BL164567666
426,1997,81,55,71,63.6,CT258851409
427,1997,80,89,97,86.7,DZ316591599
428,1997,64,78,95,74.65,MN005219252
429,1997,62,76,59,70.95,NK676784628
430,1997,84,51,77,62.2,BL164567666
432,1997,58,54,72,56.1,NK676784628
434,1997,53,69,58,63.65,CK689243685
435,1997,53,54,69,54.45,CK689243685
436,1997,89,85,58,84.85,OP572016011
437,1997,60,70,74,67.2,VW913801325
438,1997,56,78,84,71.7,VW913801325
440,1997,62,94,93,84.35,OP572016011
441,1997,55,78,82,71.3,CT258851409
442,1997,80,77,83,78.2,TY760874265
444,1997,97,69,91,78.5,OP572016011
445,1997,83,61,81,68.6,YV997426383
446,1997,80,79,64,78.55,YV997426383
447,1997,94,81,82,84.95,DZ316591599
448,1997,59,100,53,85.35,HZ059479913
450,1997,80,99,63,91.5,VD219938145
451,1997,63,54,84,58.2,KH775751336
452,1997,76,58,73,64.15,VW913801325
453,1997,96,65,78,74.95,VD219938145
454,1997,78,79,93,79.4,CK689243685
455,1997,95,69,70,76.85,YV997426383
456,1997,60,58,80,59.7,PA105899991
458,1997,53,65,91,62.7,OP572016011
459,1997,85,59,65,67.1,RI497058419
460,1997,58,64,97,63.85,RI497058419
462,1997,79,52,77,61.35,OC088063613
464,1997,57,96,62,82.6,VD219938145
465,1997,95,52,100,67.3,BL164567666
466,1997,71,92,81,85.15,MM484314278
468,1997,62,88,92,80.4,VC139026495
469,1997,87,85,95,86.1,NK676784628
470,1997,79,74,85,76.05,LS538502116
471,1997,81,55,86,64.35,KH775751336
472,1997,85,95,64,90.45,UT333656047
473,1997,57,83,98,75.95,PA105899991
474,1997,82,54,53,62.35,VD219938145
475,1997,95,81,94,85.85,CK689243685
476,1997,77,52,53,59.55,VW913801325
477,1997,76,83,63,79.9,DZ316591599
478,1997,68,64,76,65.8,VW913801325
480,1997,77,64,93,69.35,YV997426383
481,1997,100,70,79,79.45,TY760874265
482,1997,97,95,72,94.45,RI497058419
483,1997,85,66,92,73.0,YV997426383
484,1997,71,96,92,88.3,DZ316591599
485,1997,54,64,84,62.0,MM484314278
486,1997,67,93,79,84.5,BL164567666
488,1997,99,80,50,84.2,LS538502116
489,1997,66,70,82,69.4,LS538502116
490,1997,79,86,97,84.45,MN005219252
492,1997,52,92,61,78.45,BL164567666
493,1997,61,75,71,70.6,OC088063613
494,1997,68,74,72,72.1,VD219938145
495,1997,86,54,52,63.5,VC139026495
496,1997,100,84,97,89.45,CT258851409
497,1997,79,98,58,90.3,YV997426383
498,1997,59,86,56,76.4,LS538502116
500,1997,95,59,73,70.5,TY760874265
501,1997,81,51,79,61.4,SM665395424
502,1997,67,89,61,81.0,PA105899991
504,1997,52,75,66,67.65,RI497058419
505,1997,83,92,69,88.15,CK689243685
506,1997,84,88,83,86.55,DZ316591599
507,1997,85,82,95,83.55,NK676784628
508,1997,99,74,88,82.2,MN005219252
510,1997,51,53,74,53.45,DZ316591599
511,1997,88,85,93,86.3,DZ316591599
512,1997,82,83,88,82.95,YV997426383
513,1997,53,75,61,67.7,YV997426383
514,1997,72,79,72,76.55,KH775751336
515,1997,73,73,87,73.7,OC088063613
516,1997,81,95,82,90.15,KH775751336
517,1997,90,84,99,86.55,TY760874265
518,1997,74,90,76,84.5,NK676784628
519,1997,96,74,82,81.0,TY760874265
520,1997,52,92,100,80.4,BL164567666
522,1997,57,59,51,58.0,PA105899991
524,1997,54,71,85,66.6,YV997426383
525,1997,81,51,60,60.45,KE823384121
526,1997,67,87,81,80.7,TY760874265
527,1997,74,70,90,72.2,NK676784628
528,1997,69,87,63,80.4,MM484314278
529,1997,97,79,75,84.2,SM665395424
530,1997,60,98,71,85.25,LS538502116
531,1997,89,71,66,76.15,OP572016011
532,1997,76,59,67,64.5,OC088063613
533,1997,90,68,95,75.95,LS538502116
534,1997,51,81,95,72.7,NK676784628
535,1997,55,100,99,86.45,VC139026495
536,1997,86,88,76,86.8,PA105899991
537,1997,70,62,79,65.25,YV997426383
538,1997,62,57,50,58.15,PA105899991
539,1997,67,99,51,87.0,VD219938145
540,1997,66,57,55,59.6,HZ059479913
542,1997,56,53,79,55.2,MN005219252
543,1997,87,63,72,70.65,TY760874265
544,1997,54,93,86,80.95,YV997426383
545,1997,88,62,50,69.2,VD219938145
546,1997,85,58,70,66.7,LS538502116
548,1997,84,97,60,91.25,RI497058419
549,1997,68,66,65,66.55,NK676784628
550,1997,65,53,53,56.6,KH775751336
551,1997,68,93,97,85.7,SM665395424
552,1997,89,76,87,80.45,PA105899991
553,1997,77,68,92,71.9,SM665395424
554,1997,99,56,62,69.2,TY760874265
555,1997,50,69,94,64.55,KH775751336
556,1997,69,98,82,88.5,VC139026495
558,1997,76,66,62,68.8,KH775751336
559,1997,59,90,53,78.85,MN005219252
560,1997,58,91,74,80.25,CT258851409
561,1997,70,88,59,81.15,OP572016011
562,1997,50,87,87,75.9,VC139026495
564,1997,83,92,74,88.4,OP572016011
565,1997,64,88,95,81.15,RI497058419
566,1997,53,69,69,64.2,VW913801325
567,1997,74,50,73,58.35,VD219938145
568,1997,55,54,83,55.75,YV997426383
570,1997,64,63,77,64.0,RI497058419
572,1997,84,74,82,77.4,YV997426383
573,1997,73,61,89,66.0,HZ059479913
574,1997,96,91,90,92.45,UT333656047
575,1997,58,85,84,76.85,RI497058419
576,1997,94,63,94,73.85,KE823384121
578,1997,82,79,87,80.3,HZ059479913
579,1997,75,78,59,76.15,MM484314278
580,1997,71,67,84,69.05,MN005219252
581,1997,89,96,85,93.35,MM484314278
582,1997,79,95,79,89.4,VW913801325
583,1997,75,92,67,85.65,KH775751336
584,1997,63,94,60,83.0,OC088063613
585,1997,61,67,55,64.6,OC088063613
586,1997,95,56,93,69.55,VC139026495
588,1997,53,89,100,78.75,UT333656047
589,1997,88,75,85,79.4,MM484314278
590,1997,51,50,79,51.75,RI497058419
591,1997,56,72,96,68.4,VC139026495
592,1997,77,94,84,88.4,CK689243685
594,1997,74,84,70,80.3,UT333656047
595,1997,88,54,86,65.8,VC139026495
596,1997,67,61,95,64.5,LS538502116
597,1997,90,92,91,91.35,YV997426383
598,1997,51,58,90,57.5,OC088063613
600,1997,88,55,98,67.05,MN005219252
602,1997,76,100,85,92.05,TY760874265
603,1997,67,57,81,61.2,TY760874265
604,1997,66,53,71,57.8,YV997426383
605,1997,51,85,97,75.4,CK689243685
606,1997,51,78,75,69.75,PA105899991
608,1997,50,64,88,61.0,MM484314278
609,1997,62,71,70,68.25,PA105899991
610,1997,77,67,60,69.65,HZ059479913
611,1997,70,99,97,90.2,PA105899991
612,1997,65,67,58,65.95,RI497058419
614,1997,66,57,97,61.7,VC139026495
615,1997,52,93,57,78.9,PA105899991
616,1997,67,53,81,58.6,KE823384121
618,1997,57,75,54,68.55,VW913801325
620,1997,50,58,79,56.65,YV997426383
621,1997,52,64,57,60.05,PA105899991
622,1997,86,89,99,88.6,OC088063613
623,1997,78,92,53,85.85,OP572016011
624,1997,68,68,55,67.35,HZ059479913
625,1997,52,88,75,76.55,DZ316591599
626,1997,57,60,56,58.9,UT333656047
627,1997,55,85,67,75.1,OP572016011
628,1997,84,93,61,88.7,OC088063613
629,1997,80,82,79,81.25,CK689243685
630,1997,56,92,72,80.2,UT333656047
632,1997,67,55,58,58.75,YV997426383
633,1997,58,50,56,52.7,OC088063613
634,1997,70,72,66,71.1,VD219938145
635,1997,72,89,72,83.05,CK689243685
636,1997,78,64,72,68.6,NK676784628
637,1997,62,73,80,70.05,BL164567666
638,1997,53,93,98,81.25,OP572016011
639,1997,80,72,76,74.6,KE823384121
640,1997,91,81,56,82.75,CK689243685
642,1997,92,97,70,94.15,YV997426383
644,1997,65,78,61,73.25,NK676784628
645,1997,66,53,81,58.3,DZ316591599
646,1997,59,91,61,79.9,CT258851409
648,1997,98,67,95,77.7,YV997426383
649,1997,81,90,70,86.3,DZ316591599
650,1997,62,80,95,75.35,VC139026495
651,1997,95,86,70,87.9,VW913801325
652,1997,82,63,94,70.25,OP572016011
654,1997,53,66,61,61.85,KE823384121
655,1997,86,97,94,93.55,OP572016011
656,1997,96,82,65,85.35,KE823384121
657,1997,73,66,78,68.7,OC088063613
658,1997,77,89,50,83.45,LS538502116
660,1997,55,50,91,53.55,OP572016011
662,1997,78,74,81,75.55,BL164567666
663,1997,68,71,55,69.3,VC139026495
664,1997,54,99,98,85.45,CT258851409
665,1997,67,68,69,67.75,RI497058419
666,1997,63,53,59,56.3,DZ316591599
667,1997,98,60,53,71.05,UT333656047
668,1997,94,93,71,92.2,RI497058419
669,1997,93,86,68,87.2,OC088063613
670,1997,73,71,95,72.8,VW913801325
671,1997,75,95,54,86.95,LS538502116
672,1997,63,77,95,73.7,DZ316591599
674,1997,91,77,67,80.7,OP572016011
675,1997,98,86,80,89.3,OC088063613
676,1997,85,95,100,92.25,UT333656047
678,1997,78,99,70,91.25,OC088063613
679,1997,92,69,60,75.45,KH775751336
680,1997,68,91,73,83.2,MN005219252
681,1997,93,79,67,82.6,TY760874265
682,1997,64,84,60,76.8,LS538502116
684,1997,93,51,72,64.65,CT258851409
685,1997,80,78,81,78.75,VW913801325
686,1997,56,51,53,52.6,VC139026495
687,1997,60,51,90,55.65,VD219938145
688,1997,54,86,94,76.8,VW913801325
689,1997,80,97,55,89.8,PA105899991
690,1997,88,91,71,89.1,OC088063613
692,1997,99,63,100,75.65,YV997426383
693,1997,62,89,70,79.95,TY760874265
694,1997,52,74,60,66.7,BL164567666
695,1997,96,77,92,83.45,VC139026495
696,1997,80,78,100,79.7,YV997426383
697,1997,66,100,89,89.25,HZ059479913
698,1997,95,53,75,66.7,UT333656047
699,1997,56,89,80,78.65,TY760874265
700,1997,53,90,53,77.05,VC139026495
702,1997,99,91,63,92.0,BL164567666
703,1997,85,58,100,68.2,OC088063613
704,1997,84,65,75,71.2,OC088063613
705,1997,77,97,81,90.2,MM484314278
706,1997,58,52,71,54.75,VD219938145
707,1997,52,92,65,78.65,PA105899991
708,1997,51,89,96,77.95,VC139026495
710,1997,60,87,71,78.1,OC088063613
711,1997,52,65,82,61.95,CT258851409
712,1997,92,52,95,66.15,CK689243685
713,1997,78,86,93,83.95,VC139026495
714,1997,86,69,97,75.5,VD219938145
715,1997,76,50,82,59.4,VW913801325
716,1997,68,86,99,81.25,PA105899991
717,1997,63,81,51,74.1,VW913801325
718,1997,100,66,85,77.15,KE823384121
720,1997,60,83,65,75.2,RI497058419
721,1997,87,52,84,64.1,NK676784628
722,1997,76,100,73,91.45,BL164567666
723,1997,96,53,61,66.3,SM665395424
724,1997,86,62,56,68.9,RI497058419
725,1997,95,54,87,67.95,VC139026495
726,1997,77,85,50,80.85,RI497058419
728,1997,52,94,66,80.0,YV997426383
729,1997,81,60,96,68.1,BL164567666
730,1997,96,90,84,91.5,LS538502116
731,1997,98,76,50,81.3,SM665395424
732,1997,64,64,52,63.4,PA105899991
734,1997,82,62,74,68.6,TY760874265
735,1997,87,90,75,88.35,VW913801325
736,1997,74,96,61,87.65,KH775751336
737,1997,73,75,63,73.8,VC139026495
738,1997,60,79,90,73.85,RI497058419
740,1997,80,89,72,85.45,LS538502116
741,1997,90,81,99,84.6,YV997426383
742,1997,73,54,100,62.0,MN005219252
744,1997,62,77,89,73.1,KH775751336
745,1997,69,94,77,85.65,KE823384121
746,1997,65,94,52,83.2,LS538502116
747,1997,74,95,59,86.9,CK689243685
748,1997,92,54,86,67.0,TY760874265
749,1997,93,60,61,69.95,TY760874265
750,1997,95,97,67,94.9,PA105899991
752,1997,83,99,71,92.8,VW913801325
753,1997,66,65,68,65.45,UT333656047
754,1997,72,76,77,74.85,PA105899991
755,1997,66,67,69,66.8,HZ059479913
756,1997,88,54,79,65.45,UT333656047
758,1997,70,76,84,74.6,MM484314278
759,1997,65,60,100,63.5,NK676784628
760,1997,83,83,78,82.75,PA105899991
762,1997,93,85,80,87.15,TY760874265
763,1997,63,80,84,75.1,SM665395424
764,1997,74,83,72,79.75,OC088063613
765,1997,97,95,56,93.65,VW913801325
766,1997,58,91,81,80.6,MN005219252
767,1997,69,92,90,85.0,CK689243685
768,1997,54,63,67,60.5,VC139026495
770,1997,74,58,80,63.9,RI497058419
771,1997,59,64,80,63.3,YV997426383
772,1997,65,96,58,84.8,CT258851409
774,1997,65,60,97,63.35,LS538502116
775,1997,62,69,98,68.35,SM665395424
776,1997,64,84,57,76.65,MM484314278
777,1997,51,71,86,65.75,YV997426383
778,1997,77,93,90,88.05,VD219938145
779,1997,80,57,68,64.45,VC139026495
780,1997,100,73,62,80.55,TY760874265
781,1997,79,60,99,67.65,CK689243685
782,1997,53,75,57,67.5,KE823384121
783,1997,65,58,92,61.8,VD219938145
784,1997,54,72,99,67.95,VC139026495
785,1997,80,89,56,84.65,MM484314278
786,1997,100,60,58,71.9,HZ059479913
788,1997,95,81,73,84.8,OP572016011
789,1997,61,100,60,86.3,PA105899991
790,1997,59,62,54,60.7,OP572016011
791,1997,61,51,88,55.85,VD219938145
792,1997,94,93,54,91.35,BL164567666
793,1997,51,98,72,82.6,PA105899991
794,1997,88,100,63,94.55,NK676784628
795,1997,96,55,70,68.05,YV997426383
796,1997,96,88,59,88.95,DZ316591599
798,1997,70,50,82,57.6,OP572016011
799,1997,68,64,52,64.6,DZ316591599
800,1997,56,69,71,65.2,KH775751336
